method,p,npos,nneg,ntotal,frac_pos,frac_neg
vima,0.0053994600539946005,22953,17204,70898,0.32374679116477195,0.24265846709357106
stagate,0.15628437156284372,0,3835,200115,0.0,0.019163980711091124
cellcharter,0.19308069193080693,0,0,1652992,0.0,0.0
canvas,0.22717728227177283,0,0,12636,0.0,0.0
utag,0.24977502249775022,0,0,1652992,0.0,0.0
patchavgmm,0.41555844415558446,0,0,70898,0.0,0.0
patchcelltypeabundance,0.5434456554344566,0,0,70898,0.0,0.0
