cluster,p,stat
8,0.1581841815818418,-0.24005258607208596
10,0.22027797220277973,0.23111058430303022
9,0.8723127687231277,0.03334334742162068
11,0.696030396960304,0.06714475700955314
1,0.0202979702029797,0.3367675584223421
4,0.014498550144985502,-0.26051696739418184
2,0.0268973102689731,-0.4098117432661989
3,0.015798420157984203,-0.352136818459927
5,0.7108289171082892,-0.07115390665257455
0,0.09829017098290171,0.33925667095730927
6,0.34126587341265874,0.1996340841084279
7,0.9284071592840716,0.22302026820071352
12,0.35226477352264773,0.23714549234316384
15,0.6315368463153684,0.08340229945966257
13,0.9318068193180682,0.1452555529023706
14,0.15928407159284072,-0.1840881042988517
16,0.9831016898310169,0.09082955333644714
