cluster,p,stat
17,0.7913208679132087,0.052872944945089165
14,0.05679432056794321,-0.29495295719778486
13,0.46405359464053597,0.14145235506263307
6,0.5622437756224378,0.13716241923180433
2,0.45955404459554045,-0.14579095076208176
7,0.34856514348565143,0.18927433395894025
5,0.08689131086891311,0.2952334095844881
3,0.8487151284871512,0.04111326570195916
0,0.9415058494150585,0.013633847956742315
9,0.3344665533446655,-0.1964857527001509
1,0.040495950404959506,-0.3627968564942135
12,0.7534246575342466,-0.06936948859494561
11,0.0235976402359764,-0.33607752250022604
10,0.17098290170982902,0.3123105387882545
8,0.6338366163383662,0.11640318930400848
4,0.7068293170682932,0.24280438770653986
15,0.46765323467653236,0.21700823540303918
16,0.26507349265073493,-0.2133812709407281
18,0.22247775222477753,-0.24029406500755535
20,0.005599440055994401,-0.24489952732390358
22,0.9805019498050195,0.0540382417764161
23,0.2715728427157284,-0.15068862940920902
29,0.9567043295670433,0.17004867887769495
21,0.9743025697430256,0.09995334792236231
28,0.0745925407459254,-0.15450232277197473
26,0.34766523347665235,-0.22556759927149983
19,0.5086491350864913,0.09611995526301563
25,0.9364063593640636,0.1043934613324153
24,0.4413558644135586,0.17031313076228896
27,0.07429257074292571,-0.21428775612379916
