cluster,p,stat
1,0.06870058588203821,-0.045358149245783776
8,0.09471228154122625,-0.04163792492115824
14,0.21317165319127482,0.0410987407196673
19,0.507637181675923,0.010922071287044897
4,0.5722886210934666,0.015718278939096046
15,0.945621607024821,-0.002431478904691864
27,0.9535673349287133,-0.0008942566630537122
12,0.5990260203347247,-0.009895156041517205
25,0.44294874265358286,-0.007868977025055918
21,0.08183425368812142,-0.04048053930581568
7,0.04672700549250286,0.0772732156581995
13,0.37938213155092415,-0.035178914027833366
9,0.699448310898795,0.015396366776389094
10,0.27622541586394334,-0.038398543223525566
0,0.08794305038266587,0.08847744800534074
30,0.08601153123413208,-0.02280464011381278
2,0.20618538891579474,-0.03288094992177436
6,0.030754800088594676,0.08119124407060838
11,0.8436552623095444,-0.0029016115170857892
26,0.08457711537266123,-0.012963767502606627
18,0.4385341303382564,0.022018577429257807
23,0.7108463743553389,0.005707849673553695
17,0.1225036463629729,-0.04984115085048531
16,0.23260608409600456,-0.017825586639334964
24,0.25756451442987,0.02311653555345814
31,0.3172578543845638,-0.018813787489925283
22,0.041333135475396125,-0.01852883950634588
3,0.11375212710100203,-0.03001681568752095
29,0.26041723585239057,-0.016070129234873436
28,0.1618147880129202,-0.01236538483662974
5,0.3549203583929732,0.05770600456370417
35,0.3292565771717091,-0.0024770869457517958
34,0.37049280953434505,0.0073075550522448155
20,0.9435832809796899,0.0018222050293588803
36,0.329256577171709,-0.003938299967180834
32,0.46826413748055873,-0.003019067267856179
33,0.4211911442519328,0.018834964081695826
