sid,PC1,PC2,fstar
300-0143_Scan1,-0.17026699436638815,0.008621999345951873,True
300-0145_Scan1,-0.13807918301899466,-0.06777030419549168,True
300-0183_Scan1,-0.2585141393387907,-0.09274764035068563,False
300-0223_Scan1,0.10535897965243464,0.10229004734285156,False
300-0251Repeat_Scan1,-0.2662981691876389,0.14683893566438175,True
300-0302_Scan1,0.11712331254760369,-0.35959191669862217,False
300-0302_Scan2,0.12923312642370696,-0.3677829863682946,False
300-0307_Scan1,0.1210386034956844,-0.10103391917505576,False
300-0309_Scan1,-0.023806069608448038,-0.04175251329069424,True
300-0309_Scan3,-0.11977724966516629,-0.08410559277289183,True
300-0310_Scan2,-0.14540618231504202,-0.10801325425482647,True
300-0464_Scan1,-0.4112434493589701,-0.2006714508515227,True
300-0491_Scan1,0.2587879972265645,0.007071674459561088,False
300-0501_Scan1,0.10794073270999645,0.2607943486119962,False
300-0502_Scan1,0.14654761992529736,0.1856808809740604,False
300-0504_Scan1,-0.18544352151883792,0.00986266900516432,True
300-0504_Scan2,-0.1487706280670863,0.06381712792387952,True
300-0506_Scan1,-0.07288391539502216,0.23421877989328635,True
300-0507_Scan1,0.38401416524320847,0.12284918531995673,False
300-0529_Scan1,-0.08372008476312824,0.3103908198001147,True
300-1879_Scan1,0.29795787399807927,0.15898892316511584,False
300-1933_Scan1,0.2047939313160721,-0.2663161357298857,False
300-1933_Scan2,0.19844021987890528,-0.2973906475473687,False
300-1934_Scan3,0.10998772837279508,-0.07243701239366612,False
300-2660_Scan1,-0.22328463778653743,0.05699487169013388,True
300-2665_Scan1,0.0662699335997042,0.39119311043254645,True
