perplexity,method
0.44423917,vima
0.3478898,vima
0.38293016,vima
0.18486379,vima
0.31691214,vima
0.37456983,vima
0.4950202,vima
0.5257941,vima
0.39667872,vima
0.38786605,vima
0.39282122,vima
0.41123408,vima
0.26494125,vima
0.26920137,vima
0.31330073,vima
0.19532114,vima
0.18533796,vima
0.19605252,vima
0.20303547,vima
0.32027617,vima
0.2164825,vima
0.29595912,vima
0.29106757,vima
0.35232058,vima
0.3378074,vima
0.36243388,vima
0.39791122,vima
0.40261328,vima
0.22578858,vima
0.3334171,vima
0.26555017,vima
0.17704195,vima
0.19678046,vima
0.28645015,vima
0.20772919,vima
0.12347052,vima
0.22414595,vima
0.25910515,vima
0.4008178,vima
0.2949838,vima
0.28792834,vima
0.20477675,vima
0.15989311,vima
0.21794358,vima
0.15713198,vima
0.33410698,vima
0.44379997,vima
0.3466621,vima
0.28961608,vima
0.36626342,vima
0.21987016,vima
0.3714373,vima
0.32205775,vima
0.22058573,vima
0.2358198,vima
0.34740305,vima
0.27716938,vima
0.17434514,vima
0.24405545,vima
0.27347657,vima
0.16892087,vima
0.15520912,vima
0.32480353,vima
0.29316288,vima
0.13440673,vima
0.24858676,vima
0.15737098,vima
0.14070836,vima
0.41840693,vima
0.123436354,vima
0.15026702,vima
0.2742009,vima
0.60372555,vima
0.6451554,vima
0.6825898,vima
0.65594596,vima
0.74094874,vima
0.65018004,vima
0.596036,vima
0.59514046,vima
0.6226685,vima
0.48615104,vima
0.21104632,vima
0.21967228,vima
0.21846728,vima
0.118224844,vima
0.23411131,vima
0.19671772,vima
0.22345491,vima
0.099748254,vima
0.13651863,vima
0.17816995,vima
0.281557,vima
0.09483774,vima
0.19871885,vima
0.14150058,vima
0.24132134,vima
0.25877953,vima
0.30833647,vima
0.15451369,vima
0.22104454,vima
0.24759306,vima
0.2150113,vima
0.20230336,vima
0.12263354,vima
0.18158893,vima
0.15042153,vima
0.19860882,vima
0.15110868,vima
0.23518667,vima
0.2114353,vima
0.16852921,vima
0.15958527,vima
0.09172495,vima
0.42824024,vima
0.31930575,vima
0.3482121,vima
0.12827744,vima
0.05211797,vima
0.13678233,vima
0.16459839,vima
0.13710922,vima
0.41420382,vima
0.33371186,vima
0.33029133,vima
0.25830674,vima
0.2576294,vima
0.12412865,vima
0.0875884,vima
0.16192226,vima
0.1420908,vima
0.39547184,vima
0.33410522,vima
0.32842463,vima
0.21579967,vima
0.16177277,vima
0.098063506,vima
0.14486484,vima
0.115051754,vima
0.13087574,vima
0.453419,vima
0.40321437,vima
0.27468932,vima
0.09209356,vima
0.19835256,vima
0.2808646,vima
0.1132223,vima
0.13950732,vima
0.26147494,vima
0.15103029,vima
0.36439985,vima
0.38981533,vima
0.21762459,vima
0.21259466,vima
0.3195071,vima
0.34580734,vima
0.16878092,vima
0.5025179,vima
0.27855232,vima
0.19487864,vima
0.41526732,vima
0.31351876,vima
0.2574724,vima
0.24891096,vima
0.22354086,vima
0.24467869,vima
0.34077442,vima
0.25323272,vima
0.27921498,vima
0.42416117,vima
0.2026751,vima
0.43079677,vima
0.2138025,vima
0.39959174,vima
0.37900272,vima
0.2918353,vima
0.25194913,vima
0.2758867,vima
0.17145383,vima
0.17077179,vima
0.38345885,vima
0.2898654,vima
0.22363609,vima
0.22586846,vima
0.34785944,vima
0.26435724,vima
0.27967983,vima
0.42631954,vima
0.2707714,vima
0.13735028,vima
0.21677274,vima
0.32881176,vima
0.31598547,vima
0.6386223,vima
0.36360362,vima
0.15620913,vima
0.15579627,vima
0.13385482,vima
0.19971223,vima
0.24647805,vima
0.22664343,vima
0.12450667,vima
0.22708456,vima
0.2571148,vima
0.29899412,vima
0.51617044,vima
0.3499004,vima
0.16664767,vima
0.13301562,vima
0.12034362,vima
0.1375013,vima
0.19814485,vima
0.25752956,vima
0.3401718,vima
0.1508059,vima
0.1031309,vima
0.13370325,vima
0.22126888,vima
0.2591416,vima
0.3055372,vima
0.42765123,vima
0.32741627,vima
0.28252998,vima
0.28938815,vima
0.10353205,vima
0.17325982,vima
0.16278285,vima
0.21864542,vima
0.20480643,vima
0.22786589,vima
0.35241956,vima
0.12607928,vima
0.11992685,vima
0.13935374,vima
0.1647021,vima
0.10244045,vima
0.25135562,vima
0.17581873,vima
0.28254753,vima
0.24115247,vima
0.7928689,vima
0.8419357,vima
0.24958917,vima
0.30266088,vima
0.49547738,vima
0.1896914,vima
0.20786642,vima
0.25615823,vima
0.12776758,vima
0.14058642,vima
0.26933405,vima
0.29533485,vima
0.2808144,vima
0.30523384,vima
0.17128281,vima
0.123202555,vima
0.08945271,vima
0.11162774,vima
0.14902146,vima
0.21983227,vima
0.30183545,vima
0.25818643,vima
0.8179333,vima
0.81152725,vima
0.8574017,vima
0.8662984,vima
0.2079553,vima
0.26003364,vima
0.28399327,vima
0.2580131,vima
0.26460564,vima
0.19731402,vima
0.23145093,vima
0.24631773,vima
0.28912988,vima
0.2651905,vima
0.15486683,vima
0.06917629,vima
0.15584338,vima
0.18986672,vima
0.33895695,vima
0.095751956,vima
0.31402445,vima
0.27561265,vima
0.6687381,vima
0.70976985,vima
0.731297,vima
0.61724955,vima
0.2715328,vima
0.18900505,vima
0.33430338,vima
0.23015527,vima
0.30245602,vima
0.17665014,vima
0.2253477,vima
0.1576657,vima
0.20269983,vima
0.09883397,vima
0.22526526,vima
0.12384099,vima
0.10791675,vima
0.10499369,vima
0.18437967,vima
0.14995413,vima
0.15503886,vima
0.16543004,vima
0.7428133,vima
0.13499132,vima
0.14744477,vima
0.17086345,vima
0.36457235,vima
0.3187705,vima
0.25638855,vima
0.1587789,vima
0.14962785,vima
0.1735537,vima
0.09465558,vima
0.06601357,vima
0.08486412,vima
0.057436753,vima
0.15725856,vima
0.17923175,vima
0.17090575,vima
0.1680077,vima
0.45020562,vima
0.17786457,vima
0.20401596,vima
0.16347477,vima
0.17177473,vima
0.28666967,vima
0.24203943,vima
0.3144749,vima
0.22342925,vima
0.18020204,vima
0.08845542,vima
0.17310466,vima
0.076851755,vima
0.06942032,vima
0.100681536,vima
0.0803685,vima
0.15826648,vima
0.12198206,vima
0.2516729,vima
0.18208042,vima
0.06291238,vima
0.09999193,vima
0.17810637,vima
0.10640827,vima
0.18791947,vima
0.5991739,vima
0.34652057,vima
0.14281574,vima
0.15836273,vima
0.18036392,vima
0.2998225,vima
0.27065185,vima
0.48029974,vima
0.13969143,vima
0.21490416,vima
0.08207411,vima
0.13306265,vima
0.17869395,vima
0.09599288,vima
0.13650733,vima
0.1377272,vima
0.18653677,vima
0.5192233,vima
0.28663826,vima
0.12519439,vima
0.20891203,vima
0.19353689,vima
0.23448671,vima
0.36706835,vima
0.11743198,vima
0.16876927,vima
0.24781358,vima
0.15277292,vima
0.107470185,vima
0.09159675,vima
0.47035918,vima
0.55116045,vima
0.1869337,vima
0.15324451,vima
0.4087148,vima
0.40495253,vima
0.63923216,vima
0.19721633,vima
0.12372443,vima
0.14434375,vima
0.1915618,vima
0.23853968,vima
0.25482136,vima
0.20359726,vima
0.26110968,vima
0.22615245,vima
0.20618871,vima
0.24453996,vima
0.18787056,vima
0.19415338,vima
0.093786694,vima
0.23357531,vima
0.23075798,vima
0.2192862,vima
0.19926697,vima
0.18851614,vima
0.187723,vima
0.16188473,vima
0.21558681,vima
0.21376629,vima
0.23294047,vima
0.37407687,vima
0.3277177,vima
0.23345622,vima
0.18065707,vima
0.120680384,vima
0.117801234,vima
0.14997973,vima
0.17707422,vima
0.17098479,vima
0.21789522,vima
0.25982335,vima
0.26404753,vima
0.4812949,vima
0.5619891,vima
0.5355755,vima
0.22711459,vima
0.158132,vima
0.17766172,vima
0.14827465,vima
0.21331434,vima
0.18322308,vima
0.1564795,vima
0.65412736,vima
0.85407174,vima
0.14580664,vima
0.29321298,vima
0.3297132,vima
0.23536164,vima
0.2958992,vima
0.22232704,vima
0.2934171,vima
0.5778314,vima
0.25030217,vima
0.2708326,vima
0.2187036,vima
0.1563763,vima
0.27031237,vima
0.28010595,vima
0.3082297,vima
0.28670225,vima
0.304612,vima
0.28506342,vima
0.13929547,vima
0.2682271,vima
0.38513467,vima
0.24739364,vima
0.24645567,vima
0.16211936,vima
0.26829922,vima
0.18885091,vima
0.4158156,vima
