cluster,p,stat
4,0.004619953800461996,-0.6975361380360358
10,0.04329956700432996,0.45961263352179443
0,0.15786842131578685,-0.3736248273725281
9,0.032469675303246966,0.5155637416658855
2,0.1918080819191808,0.32509972667908854
5,0.15122848771512284,0.3606878204335611
11,0.04058959410405896,0.5268555991792484
8,0.991210087899121,0.0031393780886365924
7,0.9045409545904541,-0.03367865267897358
1,0.2738872611273887,-0.27176354747589476
3,0.4915650843491565,0.21512275925386104
6,0.00021999780002199978,-0.8574190629264483
