method,p,npos,nneg,ntotal,frac_pos,frac_neg
vima,0.0016998300169983002,4146,7693,21359,0.1941102111522075,0.36017603820403576
patchavgmm,0.0026997300269973002,0,1551,21359,0.0,0.0726157591647549
utag,0.011198880111988802,0,413071,1647673,0.0,0.25069962304413557
stagate,0.0504949505049495,0,4579,51408,0.0,0.08907173980703392
canvas,0.09499050094990501,0,0,2101,0.0,0.0
patchcelltypeabundance,0.13258674132586742,0,0,21359,0.0,0.0
