ratio,power,power_std,auroc,auroc_std,n
1,0.03333333333333333,0.17950549357115012,0.5206759955973158,0.13755859908584,30.0
1.2,0.0967741935483871,0.29565004483586066,0.8083316892695542,0.10511295616703725,31.0
1.4,0.36666666666666664,0.48189440982669857,0.8953110147502288,0.06413735027891963,30.0
1.6,0.5,0.5,0.940785667777672,0.026556350520940835,30.0
1.8,0.7,0.45825756949558394,0.9618829536184953,0.021671788124586824,30.0
2,0.8666666666666667,0.33993463423951903,0.9673140932482018,0.015591144493254246,30.0
2.4,1.0,0.0,0.9791893897786609,0.007241007319857749,27.0
2.8,1.0,0.0,0.9820020770503689,0.009163895964092506,29.0
