ratio,power,power_std,auroc,auroc_std,case_mean,case_std,n
0,0.03333333333333333,0.17950549357115012,0.0,0.0,,,30.0
0.01,0.06666666666666667,0.24944382578492943,0.9647086174503923,0.041078249646111106,0.02051095398365717,0.00482308947815472,30.0
0.25,0.2,0.40000000000000013,0.9928335286911889,0.007497353932936699,0.04417009749022212,0.002501650156732334,30.0
0.38,0.7666666666666667,0.42295258468165065,0.9956858514405876,0.003995227143848028,0.060044247817862335,0.0015543491427771699,30.0
0.5,0.9333333333333333,0.24944382578492943,0.9945516694871339,0.005374831255662333,0.07057372089697661,0.002269642114761204,30.0
0.75,1.0,0.0,0.9944083219443424,0.003823943060848248,0.10019699448941849,0.002335990286064663,30.0
1,1.0,0.0,0.9942816278583693,0.003242754875943129,0.12223035122881806,0.004948700998960806,30.0
